Leads,Efectivos,Ventas,SDC,PDM
543.0,389.0,12.0,6.0,24.0
178.0,128.0,7.0,11.0,25.0
416.0,288.0,8.0,23.0,35.0
422.0,274.0,13.0,26.0,54.0
967.0,620.0,6.0,43.0,54.0
954.0,570.0,21.0,55.0,58.0
1409.0,546.0,17.0,36.0,61.0
1315.0,530.0,17.0,56.0,75.0
1973.0,822.0,23.0,79.0,57.0
1562.0,1040.0,22.0,76.0,92.0
1282.0,965.0,32.0,103.0,95.0
1042.0,723.0,26.0,83.0,89.0
561.0,468.0,20.0,76.0,101.0
925.0,731.0,30.0,92.0,77.0
1149.0,872.0,30.0,59.0,81.0
815.0,693.0,34.0,76.0,127.0
1083.0,694.0,40.0,97.0,111.0
1358.0,893.0,36.0,104.0,127.0
1419.0,624.0,27.0,99.0,123.0
1100.0,660.0,41.0,127.0,116.0
1192.0,695.0,40.0,136.0,154.0
1061.0,744.0,42.0,118.0,116.0
1534.0,729.0,34.0,111.0,130.0
1516.0,714.0,38.0,113.0,148.0
1235.0,730.0,30.0,83.0,109.0
1785.0,944.0,41.0,85.0,118.0
1393.0,724.0,41.0,74.0,117.0
1251.0,736.0,35.0,95.0,142.0
1315.0,754.0,37.0,82.0,128.0
520.0,282.0,33.0,30.0,51.0
