Generadas,Aprobadas,Rechazadas,Formalizadas
5.0,1.0,4.0,1.0
6.0,2.0,4.0,1.0
11.0,7.0,4.0,5.0
23.0,14.0,9.0,11.0
26.0,8.0,14.0,3.0
43.0,13.0,22.0,6.0
55.0,30.0,17.0,17.0
36.0,19.0,13.0,9.0
56.0,26.0,13.0,7.0
79.0,31.0,12.0,14.0
76.0,25.0,25.0,14.0
103.0,39.0,26.0,17.0
83.0,30.0,26.0,19.0
76.0,27.0,21.0,12.0
92.0,31.0,30.0,20.0
59.0,35.0,16.0,17.0
76.0,40.0,25.0,19.0
97.0,46.0,22.0,25.0
104.0,41.0,33.0,21.0
99.0,27.0,44.0,13.0
127.0,43.0,49.0,25.0
136.0,51.0,62.0,25.0
118.0,49.0,36.0,24.0
111.0,31.0,28.0,14.0
113.0,37.0,36.0,21.0
83.0,37.0,25.0,17.0
85.0,41.0,30.0,18.0
74.0,42.0,16.0,16.0
95.0,44.0,30.0,19.0
82.0,35.0,33.0,13.0
32.0,12.0,9.0,4.0
