Programadas,Efectivas,PDM,Aprobadas,Ventas
189.0,109.0,86.0,29.0,26.0
117.0,101.0,97.0,27.0,20.0
181.0,140.0,77.0,30.0,30.0
174.0,114.0,81.0,35.0,30.0
166.0,157.0,121.0,40.0,34.0
226.0,177.0,111.0,46.0,40.0
256.0,193.0,127.0,41.0,36.0
300.0,194.0,123.0,27.0,27.0
273.0,212.0,116.0,43.0,38.0
304.0,220.0,154.0,51.0,40.0
329.0,225.0,116.0,49.0,43.0
290.0,235.0,130.0,31.0,34.0
274.0,215.0,148.0,35.0,38.0
434.0,337.0,109.0,37.0,31.0
305.0,237.0,118.0,41.0,41.0
146.0,105.0,117.0,41.0,41.0
355.0,267.0,143.0,44.0,35.0
251.0,154.0,128.0,35.0,37.0
