Piso,Plazas,Eventos,Planta,Digitales,Otros
71.5,0.0,7.0,6.0,6.0,195.0
19.0,0.0,0.0,52.0,5.0,102.0
76.0,25.0,5.0,127.0,18.0,165.0
87.0,28.0,0.0,60.0,69.0,178.0
55.0,68.0,71.0,376.0,87.0,310.0
92.0,294.0,4.0,237.0,113.0,214.0
77.0,248.0,5.0,135.0,57.0,102.5
57.0,52.0,1.0,1030.0,107.0,68.0
43.0,59.0,0.0,1214.0,139.0,518.0
50.0,154.0,0.0,1098.0,45.0,215.0
64.0,280.0,5.0,772.0,74.0,87.0
71.0,172.0,3.0,654.0,106.0,36.0
64.0,184.0,0.0,122.0,81.0,110.0
80.0,275.0,26.0,394.0,76.0,74.0
40.0,273.0,17.0,495.0,227.0,31.0
65.0,271.0,80.0,158.0,205.0,36.0
59.0,355.0,0.0,275.0,301.0,93.0
63.0,492.0,5.0,305.0,394.0,99.0
71.0,397.0,39.0,202.0,625.0,85.0
58.0,312.0,1.0,364.0,312.0,53.0
72.0,324.0,14.0,401.0,287.0,94.0
81.0,274.0,46.0,204.0,350.0,106.0
76.0,325.0,42.0,452.0,405.0,234.0
105.0,290.0,89.0,484.0,438.0,93.0
94.0,433.0,4.0,297.0,338.0,107.0
105.0,401.0,89.0,673.0,307.0,103.0
79.0,351.0,1.0,391.0,443.0,128.0
113.0,352.0,0.0,233.0,427.0,114.0
85.0,403.0,1.0,449.0,299.0,78.0
